case_index,guidance_mode,wind_x_mps,wind_y_mps,initial_x_m,initial_y_m,initial_vx_mps,initial_vy_mps,initial_vz_mps,initial_mass_kg,success,failure_mode,horizontal_target_error_m,touchdown_horizontal_speed_mps,touchdown_vertical_speed_mps,maximum_tilt_deg,propellant_remaining_kg,nmpc_acceptance_rate,nmpc_mean_solve_time_ms,nmpc_maximum_solve_time_ms
15,nmpc,14.157237990401336,-5.286107146540076,26.244142344759265,-16.473861291422217,-2.011708656767587,0.8257775840664713,-60.052875759599836,25000.0,0,footprint,3.0141215658376828,0.17720736335014628,1.1959608449858774,7.674827442072648,3865.252260713809,1.0,136.1807199101895,224.329249933362
16,baseline,14.906354446964118,-0.2656604896784587,10.192800501938263,-0.7605951291543693,-1.51186161110481,1.9637653316651278,-55.26668499752743,24611.14812208661,0,footprint,3.481506271937255,0.016851011568596926,1.195881454631817,4.714155994896902,2844.418011682086,0.0,0.0,0.0
16,nmpc,14.906354446964118,-0.2656604896784587,10.192800501938263,-0.7605951291543693,-1.51186161110481,1.9637653316651278,-55.26668499752743,24611.14812208661,1,success,2.886322006228464,0.17492336705537476,1.1959031920898473,1.610076563795928,3444.7230972707875,1.0,151.44814194731967,237.23641713149846
17,baseline,7.96899742073465,-2.175248023506845,10.440352428472188,-6.660973491350937,-1.5368196163843666,2.3110600737171243,-59.52860865810252,24710.087108850395,1,success,1.3558413680521753,0.0071085026475587445,1.1963431864181842,3.8283845849207947,2891.301307485832,0.0,0.0,0.0
17,nmpc,7.96899742073465,-2.175248023506845,10.440352428472188,-6.660973491350937,-1.5368196163843666,2.3110600737171243,-59.52860865810252,24710.087108850395,1,success,1.1948277919344175,0.06839885303439479,1.1963570492363922,2.0828951510938247,3627.848245322275,1.0,132.59267834946513,223.73041603714228
18,baseline,4.729806362689231,-3.5505190479571596,24.13799415352595,-0.8487693131257519,-2.2597604203633477,1.172742699394691,-61.060101566118206,25000.0,1,success,0.8984229421438017,0.01439764824391379,1.1965210025201911,1.9189893251647374,3128.3157660711404,0.0,0.0,0.0
18,nmpc,4.729806362689231,-3.5505190479571596,24.13799415352595,-0.8487693131257519,-2.2597604203633477,1.172742699394691,-61.060101566118206,25000.0,1,success,0.7469877579249785,0.045202335384998085,1.1963751757651337,3.812659085806317,3911.991387003007,1.0,130.4835258924868,214.6212919615209
19,baseline,4.645883756880545,-2.991850042237319,12.101096394183616,-12.606394426428517,-1.946722670889251,0.2567196019842404,-60.743401935808954,24872.103286863734,1,success,0.7053567901893552,0.020536535767024744,1.1965376239429064,2.2150704078238173,3018.8836135911733,0.0,0.0,0.0
19,nmpc,4.645883756880545,-2.991850042237319,12.101096394183616,-12.606394426428517,-1.946722670889251,0.2567196019842404,-60.743401935808954,24872.103286863734,1,success,0.17156458555874082,0.03425887861181297,1.1964815311410328,2.7146734571407385,3786.855943639548,1.0,135.33600000664592,219.9481250718236
20,baseline,12.896910933401655,-7.602004919863886,29.664105900086007,-6.809182954046577,-1.6383862895024004,1.346029405557122,-53.7183164246856,25000.0,0,footprint,3.476738850225346,0.021578940073508333,1.1958888748038925,5.853627296830324,3178.0529849424456,0.0,0.0,0.0
