case_id,thrust_scale,propellant_scale,drag_scale,density_scale,wind_x_mps,initial_x_m,initial_vx_mps,initial_vz_mps,initial_theta_deg,success,final_time_s,final_altitude_m,landing_x_m,target_x_m,landing_x_error_m,touchdown_vx_mps,touchdown_vz_mps,touchdown_speed_mps,propellant_used_kg,propellant_remaining_kg,max_abs_tilt_deg,max_abs_gimbal_deg,max_abs_commanded_gimbal_deg,max_abs_throttle_tracking_error,navigation_rejection_count,rms_x_estimation_error_m,rms_z_estimation_error_m,rms_vx_estimation_error_mps,rms_vz_estimation_error_mps,rms_theta_estimation_error_deg,failure_mode,guidance_mode,navigation_mode,actuator_mode
139,1.025822073331418,0.9935033054212705,1.1061864845398537,1.078692928594592,-0.20496493873003274,20.664395450219796,-1.9595032792372455,-54.30488080079992,1.0812252193981269,True,43.99999999999942,0.0,1.3245869870773264,0.0,1.3245869870773264,0.01873772189678211,-0.879696062589985,0.8798955987832897,3995.297959512929,2959.225178435965,1.0812252193981269,0.8665954653408482,1.276147181729079,0.7400226031027409,0,0.3709436373631466,0.26891184918760214,0.0951850010189631,0.4381656066302103,0.05085900961751099,success,corridor,estimated,flight_like
140,0.9723838880378589,1.031769999075615,1.1683031675590922,1.0900711074332707,-12.376032052801932,9.315027892883606,-1.9348882219890027,-56.99744050456316,0.04105800898848548,True,43.51999999999943,0.0,-1.5796258159198686,0.0,-1.5796258159198686,0.11016685627266173,-0.921067204015513,0.9276322172790011,4020.460530976812,3201.9294625524926,2.2145895644425275,1.3868741426650197,1.8065966918586438,0.7152951656225585,0,0.3799806258834081,0.3834278531716814,0.09929666100265373,0.3927175983640785,0.05368361736259282,success,corridor,estimated,flight_like
141,1.0168914827462656,0.9806293562529037,0.9075840365233081,0.9103952571046356,9.499735792144097,16.377633831715283,-3.385702517811369,-55.7530871872944,0.6326140768432611,True,45.43999999999939,0.0,-0.1502526003301722,0.0,-0.1502526003301722,0.30295171494511836,-0.6604426948870746,0.7266115157481953,4105.265619277594,2759.139874492732,3.078704153573229,2.538787824887013,3.6137255232967247,0.6768876096066573,0,0.38832668049735986,0.29248402306545734,0.10199841567453896,0.4054775407048558,0.05961375546525595,success,corridor,estimated,flight_like
142,0.9993425368921343,0.9587841658228801,1.0324102948953557,0.8581302528126673,5.527170486233818,22.467628814665602,-1.3396502912788042,-59.04124964374036,1.8461238082242133,True,44.639999999999404,0.0,0.6772113292587605,0.0,0.6772113292587605,-0.23948546051753872,-0.8692005761383269,0.9015891122670554,4043.3492161494214,2668.139944610739,1.8461238082242135,1.2194463570718725,1.6748218760126863,0.6652827265871063,0,0.4473013974323599,0.4142051382081918,0.10016221160340721,0.42763597308568035,0.05597267713192998,success,corridor,estimated,flight_like
143,1.0077184017495429,0.9402619018770164,0.8685634319657441,0.9901797807192934,5.701428030056455,5.2276595191775,-3.2069657572969508,-61.637788921578874,0.6719879179776188,True,45.19999999999939,0.0,0.08872288410098415,0.0,0.08872288410098415,0.17998510300857326,-0.7776660614984898,0.7982224881018949,4083.6857447508883,2498.1475683882272,3.6607720446576066,1.805158646298837,2.240050988823472,0.7557318240850724,0,0.386386042542357,0.2634237856432374,0.10970975542951593,0.434916156130018,0.05922060545091898,success,corridor,estimated,flight_like
144,0.9820807839498661,0.9664992527086168,0.9154754553602287,1.0021933195152641,-0.7421520947674836,3.8929214280199744,-2.0886030163034124,-58.844891222550125,0.05961911316157617,False,43.27999999999943,0.0,-3.4926199168267527,0.0,-3.4926199168267527,0.20278833383271572,-0.30312340392738224,0.36470111920197323,3954.795714714557,2810.6990542457606,2.3623140427498335,1.4404919823614744,2.007013435166504,0.7240258172275926,0,0.39972697245208616,0.2682486141899717,0.09968416336619124,0.4316790730870881,0.0508861219785228,pad_miss,corridor,estimated,flight_like
145,0.9881342014985404,0.9563674264400304,1.0296439077263015,0.8803578338079603,-6.901980758021061,26.38611885398682,-2.712491628028453,-55.22233369799278,1.0994939169813922,True,44.7999999999994,0.0,-2.203851021882699,0.0,-2.203851021882699,0.13543399933349812,-0.9903855336668097,0.999602857875045,4022.5137072152756,2672.058277864937,1.3138815164817501,0.7582869155618891,1.1127442616058127,0.6738488897883185,0,0.438972264078078,0.2680831064312039,0.11379063987049658,0.4125744697031455,0.05330180180497673,success,corridor,estimated,flight_like
146,1.0008358211735418,1.0279895134539045,1.0436247098039264,1.0048417800710086,10.813620709628495,23.166641091777073,-3.4057912847259177,-56.09062458290959,0.9346721315353858,False,45.75999999999938,0.0,3.0439594734938873,0.0,3.0439594734938873,0.39513595863533185,-0.7174296740475319,0.8190468625241235,4182.339039116268,3013.5875550610654,2.579946942287504,1.244897349933547,1.6431024863469916,0.739786969353243,0,0.6702432852694141,0.28715370064206414,0.14406193409182103,0.40110183439367425,0.06638839449427197,pad_miss,corridor,estimated,flight_like
147,1.0014131179594992,1.0183485423153642,1.170567318194599,0.9504581200269985,16.660841014641445,3.666274054258695,-3.225508092097661,-60.42824317194184,1.0391316976404599,True,45.83999999999938,0.0,1.860944708012849,0.0,1.860944708012849,0.1759911782575347,-0.7079404177805302,0.7294878545608192,4208.123793816154,2920.316002391395,3.5742041756078478,1.7071957843428567,1.9626169963404807,0.6589340341198993,0,0.5740630701781553,0.26230836005730246,0.10438670520361439,0.4139297289625032,0.08037339559148793,success,corridor,estimated,flight_like
148,1.0035369705707762,0.9894935638734907,1.0903223966568079,1.0162402598263427,-2.4678735947148986,15.639625074445819,-1.4879607727046529,-59.818881571709944,1.2495004215351453,True,44.39999999999941,0.0,-1.8148016095785267,0.0,-1.8148016095785267,0.04830894911874169,-1.02441500681996,1.0255534412027956,4062.196384236806,2864.2585628776287,1.249500421535145,1.0416291852989004,1.2008895900042806,0.6834991179738596,0,0.532026647213298,0.27745798308089986,0.09348030250685853,0.41027339604980523,0.04890628814532773,success,corridor,estimated,flight_like
