initial_altitude_m,initial_offset_m,initial_vz_mps,success,final_time_s,final_altitude_m,landing_x_m,target_x_m,landing_x_error_m,touchdown_vx_mps,touchdown_vz_mps,touchdown_speed_mps,propellant_used_kg,propellant_remaining_kg,max_abs_tilt_deg,max_abs_gimbal_deg,max_abs_commanded_gimbal_deg,max_abs_throttle_tracking_error,navigation_rejection_count
600.0,40.0,-48.29807449578088,True,43.679999999999424,0.0,-2.493046180819148,0.0,-2.493046180819148,-0.5472135401722149,-0.7702524122193543,0.9448446629354172,3942.1921408431044,3057.8078591568956,4.307827594981209,4.219927154033405,4.29,0.6441383086266281,0
600.0,50.0,-48.29807449578088,True,43.91999999999942,0.0,2.7873633725726767,0.0,2.7873633725726767,-0.6473467740759049,-0.7622770210150015,1.0000620494119281,3960.712792273589,3039.287207726411,5.040081234985105,4.219927154033405,4.29,0.6571031034590216,0
750.0,0.0,-53.998888877457475,True,45.83999999999938,0.0,0.34238506207038905,0.0,0.34238506207038905,0.08981874826461737,-0.8038313324575517,0.8088338633986003,4139.182635633937,2860.817364366063,1.8776616587350214,2.7961738248510386,3.41,0.6307252140638786,0
750.0,10.0,-53.998888877457475,True,45.83999999999938,0.0,0.03619164738027056,0.0,0.03619164738027056,0.12447481627844516,-0.8038321327897957,0.8134126121427824,4139.011764379506,2860.9882356204944,1.264622154207462,2.1310544488762693,3.41,0.6307351992811241,0
750.0,20.0,-53.998888877457475,True,45.83999999999938,0.0,0.24096502858497834,0.0,0.24096502858497834,0.026860631481328466,-0.8038276925563487,0.8042763535278403,4138.882014590181,2861.117985409819,0.8,0.787490233522996,1.4334515279682833,0.630756001820241,0
750.0,30.0,-53.998888877457475,True,45.83999999999938,0.0,-2.460151182838864,0.0,-2.460151182838864,-0.058021709442510366,-0.8038296408478002,0.8059209702397218,4139.426592222924,2860.5734077770758,2.471267491547723,3.7662909123647967,4.29,0.6307705293641083,0
750.0,40.0,-53.998888877457475,False,45.43999999999939,0.0,-4.669481706537378,0.0,-4.669481706537378,-0.22007216858285475,-0.8059780381798043,0.8354833076806062,4111.203447165783,2888.7965528342174,4.491997665156767,4.219927154033405,4.29,0.6301585142361158,0
750.0,50.0,-53.998888877457475,False,45.919999999999376,0.0,-4.729701317759781,0.0,-4.729701317759781,-0.6086126089050766,-0.7617734430437342,0.9750426073997737,4148.324884723956,2851.6751152760444,5.21439871725134,4.219927154033405,4.29,0.7112442530771296,0
900.0,0.0,-58.0,True,47.67999999999934,0.0,0.5976852330829672,0.0,0.5976852330829672,0.04851982504960871,-0.7948705731613843,0.7963500496017767,4299.704807809503,2700.295192190497,1.8723827756966815,3.085163846974547,3.41,0.6980871392981971,0
900.0,10.0,-58.0,True,46.959999999999354,0.0,0.411508985490949,0.0,0.411508985490949,0.0508132978290019,-0.8269152018503043,0.828474949704207,4246.35917798091,2753.6408220190897,1.2496580702741213,2.825294924554184,3.41,0.7132981571734588,0
900.0,20.0,-58.0,True,46.959999999999354,0.0,0.09410208268094578,0.0,0.09410208268094578,0.0387874688508616,-0.826914935961195,0.8278241232626432,4246.243488810946,2753.7565111890544,0.8,1.6656949419936447,3.41,0.7133168871133667,0
900.0,30.0,-58.0,True,47.67999999999934,0.0,-1.2929014328831228,0.0,-1.2929014328831228,0.0764370910740891,-0.7948713633405464,0.7985381100177547,4299.733981147267,2700.2660188527334,1.996143626789286,3.8813351623228165,4.29,0.6981464670306805,0
900.0,40.0,-58.0,True,46.23999999999937,0.0,-2.787083544751306,0.0,-2.787083544751306,0.08922219535021372,-0.43077577970781133,0.43991859761322266,4197.6769809931975,2802.3230190068025,4.068654596456786,4.25107064112967,4.29,0.66111260976885,0
900.0,50.0,-58.0,False,47.51999999999934,0.0,-4.368751431596129,0.0,-4.368751431596129,-0.09397700391749772,-0.8052838902562439,0.8107489260995291,4290.436324042588,2709.5636759574118,5.3130849761262775,4.25107064112967,4.29,0.7091665119616258,0
