case_id,thrust_scale,propellant_scale,drag_scale,density_scale,wind_x_mps,initial_x_m,initial_vx_mps,initial_vz_mps,initial_theta_deg,success,final_time_s,final_altitude_m,landing_x_error_m,touchdown_vx_mps,touchdown_vz_mps,touchdown_speed_mps,propellant_used_kg,propellant_remaining_kg,max_abs_tilt_deg,max_abs_gimbal_deg,failure_mode,guidance_mode
95,1.0134791752489511,0.9841615499697646,0.9218629992230056,1.050517992328851,13.661015322989005,19.504948472758556,-0.8616897083461741,-60.17259974559704,2.027253032599211,True,46.23999999999937,0.0,-0.48453536440631834,-0.11315080339559269,-0.7495239156106415,0.7580166253990581,4197.654445272503,2691.476404515848,2.034479717733677,1.8239530019786634,success,corridor
96,0.991680545618075,0.9956901890620916,1.0884563939424892,0.9752189497793626,-7.296525512590883,9.585199527758101,-1.6070439712788764,-55.96916307478091,1.819035717339873,True,47.919999999999334,0.0,-1.056328132868386,0.014540617466822102,-0.749457649515543,0.7495986912833286,4302.718312578498,2667.1130108561447,1.9403316248034705,0.8863167194180667,success,corridor
97,1.028130051871653,0.9494927129894521,1.0704646507026525,0.8940414595425125,-7.568944541001098,6.942791085795633,-2.1940555596862925,-59.27742762695903,1.0288769650066931,True,45.19999999999939,0.0,-1.182497668696233,0.10718807882599947,-0.7509626197281614,0.7585737541408824,4075.247598702048,2571.2013922241167,2.435196183724897,1.2585593394833146,success,corridor
98,1.0201807931104767,0.9528247741067969,0.9609967206496165,0.8999534900498337,9.191661857542943,12.237745011789865,-4.721491856808596,-58.6277005288791,1.4144068959258482,True,45.999999999999375,0.0,1.027694412108845,0.31372381575718694,-0.7497435814894374,0.8127349325320391,4135.153617958476,2534.6198007891035,4.973291394681174,3.072076207240784,success,corridor
99,0.9754445706301351,0.9748491543301182,0.9818262633249084,0.85157530589482,-6.2176689540600165,8.951542406277332,-1.9490555336642035,-53.978836639901566,0.2939121687507434,True,47.839999999999336,0.0,-0.8371975646865247,0.0624414220939471,-0.7506189404053278,0.7532116069792948,4260.495780146284,2563.448300164542,2.1790443337184087,3.6883483071870917,success,corridor
100,1.003265832899321,0.9839935046571104,1.1894950629995598,0.9518266541773199,-11.979501289526677,20.54566830083298,-2.9457096469500157,-60.47859546099564,1.0194876103297446,True,47.11999999999935,0.0,-0.892972187759415,0.24553580790068033,-0.7492507510979102,0.7884570508164807,4262.120416170994,2625.8341164287813,2.354075452367604,0.43049072875707656,success,corridor
101,1.0248509459945905,1.0284115577525774,1.135788672832551,1.0728788144682093,14.358843995584945,25.1027745116564,-1.3325513028290983,-62.21119649289687,1.1932438234327525,True,46.31999999999937,0.0,-0.389827408164641,-0.03430597766420382,-0.7493306467251041,0.7501155365841715,4267.080084430687,2931.8008198373573,1.9168715946150439,1.595399346783816,success,corridor
102,1.0215602450706505,0.943606877501908,0.9605917756410822,1.1268495043783595,-11.1662099617965,9.590509760457426,-2.686257543164337,-62.04415207119134,1.9432612996117824,True,45.919999999999376,0.0,-1.7930327795744847,0.1277742167126698,-0.7492963804476649,0.7601126996758494,4138.953753635418,2466.2943888779373,2.8235457188316895,0.5257574883341776,success,corridor
103,0.9849076170720598,1.039829530831541,0.9255888929094023,0.9522178844961904,-10.386533361223051,29.79023913415382,-4.2982908678707865,-56.16621219817871,0.1356278630541302,True,48.63999999999932,0.0,1.239106057796811,0.23670850004301172,-0.7505119608097582,0.7869556005970861,4414.333971981472,2864.4727438393165,3.5542728934297476,1.4310739450839705,success,corridor
104,0.9957992403715621,1.022911968884175,1.0934656342563855,0.9841560586058671,12.099782813036612,25.300032638208,-3.402198430685984,-60.51273151810831,1.592735835784823,True,47.99999999999933,0.0,1.01399552529666,0.14310521425317338,-0.749324937434232,0.7628675928411577,4374.631527487549,2785.7522547016742,1.5934710225542918,0.20968774415055605,success,corridor
105,1.0092606888658826,0.9772934117976263,1.193261229907147,0.9482642734658506,10.04316751010552,13.579374365816626,-4.996132765657851,-56.360506011184015,0.5152551960824125,True,47.03999999999935,0.0,1.682671862278613,0.2640690597736536,-0.7493253016900077,0.7944941007223165,4219.095359416871,2621.9585231665114,5.179638564693879,3.5666096421546736,success,corridor
