case_id,thrust_scale,propellant_scale,drag_scale,density_scale,wind_x_mps,initial_x_m,initial_vx_mps,initial_vz_mps,initial_theta_deg,success,final_time_s,final_altitude_m,landing_x_m,target_x_m,landing_x_error_m,touchdown_vx_mps,touchdown_vz_mps,touchdown_speed_mps,propellant_used_kg,propellant_remaining_kg,max_abs_tilt_deg,max_abs_gimbal_deg,max_abs_commanded_gimbal_deg,max_abs_throttle_tracking_error,navigation_rejection_count,rms_x_estimation_error_m,rms_z_estimation_error_m,rms_vx_estimation_error_mps,rms_vz_estimation_error_mps,rms_theta_estimation_error_deg,ekf_mean_nees,ekf_p95_nees,ekf_x_3sigma_coverage,ekf_z_3sigma_coverage,ekf_vx_3sigma_coverage,ekf_vz_3sigma_coverage,ekf_theta_3sigma_coverage,ekf_bax_3sigma_coverage,ekf_baz_3sigma_coverage,ekf_bg_3sigma_coverage,ekf_rejected_updates,ekf_gps_accepted_updates,ekf_gps_rejected_updates,ekf_mean_gps_nis,ekf_mean_gps_normalized_nis,ekf_radar_accepted_updates,ekf_radar_rejected_updates,ekf_mean_radar_nis,ekf_mean_radar_normalized_nis,ekf_attitude_accepted_updates,ekf_attitude_rejected_updates,ekf_mean_attitude_nis,ekf_mean_attitude_normalized_nis,failure_mode,guidance_mode,navigation_mode,actuator_mode
24,1.02084784638545,0.9422959584585118,1.056359070742066,1.0942993448979172,17.322752088934934,22.68508191733413,-1.745419028115443,-60.82161024497246,0.8644247689790977,True,43.51999999999943,0.0,1.984709975656195,0.0,1.984709975656195,0.0022140512753583523,-0.8852255541977707,0.8852283229923228,3949.125261449215,2646.946447760365,0.8644247689790977,0.7304787422839061,1.1733578657720414,0.6407753430046015,3,0.13622636017200845,0.07524981295616866,0.0468308772730996,0.04993421746495612,0.033233720674975605,6.933831620037699,11.972845216438376,1.0,1.0,1.0,0.998165137614679,1.0,1.0,1.0,1.0,3,217,0,3.935039543124379,0.9837598857810947,433,3,0.9985994012029066,0.9985994012029066,544,0,0.8339420081698938,0.8339420081698938,success,corridor,ekf,flight_like
25,0.9796441601623137,1.0265377218445815,0.9113455120109778,1.0089391550905584,6.48296880843473,16.835200462954372,-3.0442389230565823,-52.89808811420868,-0.08162769780550051,True,45.43999999999939,0.0,0.18714727991325458,0.0,0.18714727991325458,0.3160435480933317,-0.5176005346554243,0.606460087530089,4136.80507091988,3048.9589819921894,2.8633251092467713,3.5238339198665254,4.210299852729127,0.6555493809842022,2,0.21815783481295614,0.09515151452581634,0.0423428279068231,0.05597734380478587,0.03560247546089343,7.858536254173685,14.625348295513875,1.0,0.9912126537785588,1.0,1.0,0.9982425307557118,1.0,1.0,1.0,2,226,1,4.027869635933473,1.0069674089833682,455,0,0.9858534784813534,0.9858534784813534,567,1,0.910295286840435,0.910295286840435,success,corridor,ekf,flight_like
26,0.9762670183908059,1.0275938577318384,1.0378338036169434,0.920716514931208,0.986282401830131,23.955399183452283,-3.6412229502085056,-56.78272419331144,0.4248391883283847,True,46.23999999999937,0.0,1.1273843299552797,0.0,1.1273843299552797,0.423127199868862,-0.7931099435883793,0.8989215816118924,4225.058002216883,2968.0990019059864,2.99380582014007,1.256521300319271,2.5955953034838193,0.6912723417270725,2,0.16277160795989215,0.06638070296143984,0.04601541561392755,0.04572437658579489,0.03113283679033474,4.203637212195868,7.831109153616014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,231,0,3.6921581789321096,0.9230395447330274,462,1,1.0046257943467558,1.0046257943467558,577,1,1.0214019484299877,1.0214019484299877,success,corridor,ekf,flight_like
27,1.0087217408702676,0.9925288344910989,1.0393878246865513,0.8812253808487042,17.574004708711144,1.044475756716114,-1.7093078127556969,-56.81143495758754,1.530290644409109,True,45.83999999999938,0.0,2.0379742189205987,0.0,2.0379742189205987,0.15673890229420134,-0.7602157669014372,0.7762055756936634,4152.931871509085,2794.769969928606,2.1956788142214756,0.9727735345050046,1.489753418822076,0.6813611315682814,2,0.11852468147372498,0.07015134755252982,0.037651156334879136,0.05876308792158631,0.036182603402308534,4.603971834234598,9.373259585840172,1.0,1.0,1.0,0.9947735191637631,1.0,1.0,1.0,1.0,2,229,0,3.9034528120348644,0.9758632030087161,458,1,0.990498427722551,0.990498427722551,572,1,1.0134065785851134,1.0134065785851134,success,corridor,ekf,flight_like
28,0.9919172835373291,1.0365416759287966,1.0552091158298287,0.9063590210312465,0.14595925364287154,17.417276420214428,-3.745193936868011,-59.67041614752503,0.7102719959887944,True,45.43999999999939,0.0,0.031033063827001585,0.0,0.031033063827001585,0.2803112653527157,-0.6167098254842837,0.6774255784457036,4199.360126877935,3056.4316046236418,3.847132119040461,1.1990229417613314,1.8661861081313127,0.6565893762357673,2,0.12319247518396674,0.07907677345529947,0.04565308157998171,0.05485683642316691,0.035931539083538536,4.985257467718035,10.70020323845527,1.0,0.9982425307557118,1.0,1.0,1.0,1.0,1.0,1.0,2,227,0,3.819875438524941,0.9549688596312352,454,1,0.9180748873442537,0.9180748873442537,567,1,0.9995968304996338,0.9995968304996338,success,corridor,ekf,flight_like
29,1.021901478570538,0.9943229304359463,1.0072141500564138,0.9852428841286747,16.898994897189016,25.36659155166481,-2.4189093714519188,-60.74259493466512,2.171747230248741,True,44.7199999999994,0.0,2.0364661503627306,0.0,2.0364661503627306,-0.07370608805961862,-0.7399725920119544,0.7436343351042518,4100.387395132286,2859.8731179193383,2.1717472302487404,1.3325556790883584,1.696622243444257,0.6750774951694137,4,0.0973511468818839,0.05889222294187067,0.0479077691384796,0.04265976758107202,0.03290274183582956,4.5565353058631075,8.94471864691525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,223,0,3.6349524320014175,0.9087381080003544,445,3,1.0979094868621357,1.0979094868621357,558,1,0.9047604109609502,0.9047604109609502,success,corridor,ekf,flight_like
30,0.9717316960367345,0.9620508004304374,1.1432443758237372,1.0964750123076885,14.104307474943951,26.376392394622574,-2.619163003349976,-57.59349735381653,2.2722043926255657,True,45.999999999999375,0.0,1.9425641769816269,0.0,1.9425641769816269,-0.057151895492770104,-0.8184444673842971,0.8204374963093668,4128.995375808656,2605.360227204408,2.2722043926255657,1.7237678712682838,2.6264468577386326,0.6306037666476673,4,0.19542030157158036,0.076803382960844,0.05590882134189472,0.047631134179296146,0.0326684255937339,5.631201081966154,9.934735227372924,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,228,2,4.058586941474487,1.0146467353686217,460,1,0.8976820705470583,0.8976820705470583,574,1,0.9177571756919327,0.9177571756919327,success,corridor,ekf,flight_like
31,0.9767272133896197,1.028922977369551,1.136405050345268,0.9403187605741318,1.4604943965191666,22.594762807461322,-3.4118165045541637,-55.54563855472949,-0.6425246064573831,True,45.59999999999938,0.0,-0.8264159263235995,0.0,-0.8264159263235995,0.40810428410902316,-0.6234223543794069,0.7451204859941116,4169.2096262652485,3033.2512153216085,3.359615787891619,1.8531630920468085,2.2967885800099777,0.6792981216183362,5,0.1334423668973892,0.06860179496874111,0.04801144400505535,0.04702380849940844,0.029930639479981005,6.048788000268057,14.002944616817306,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,227,1,3.609763820112515,0.9024409550281287,454,3,0.9436679341072857,0.9436679341072857,569,1,0.9218881868665632,0.9218881868665632,success,corridor,ekf,flight_like
32,0.9972591364725412,1.0149711016461198,1.0906807029035037,1.1103463562188214,17.836814318602705,28.38610061934523,-5.114224593329225,-59.472205373815974,0.067023606343997,False,45.43999999999939,0.0,3.177061561426467,0.0,3.177061561426467,0.6220717877063658,-0.7890038746844106,1.0047389826851583,4165.093189557036,2939.704521965803,4.161803583218546,1.6537148432285225,2.54104589955457,0.6652236444236963,5,0.18228442605966522,0.06745066068841325,0.04426821846162372,0.04266638903484164,0.031014095670967284,5.048195704161826,9.430985646574182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,227,0,3.9354900429744593,0.9838725107436148,452,3,0.8633410105509678,0.8633410105509678,566,2,0.8803156485921108,0.8803156485921108,pad_miss,corridor,ekf,flight_like
33,0.9945274905813608,1.03178608561747,1.0274012038435731,1.1434889426551715,17.117204329430475,20.70241840668158,-3.726405881155809,-57.076279379371464,1.2348674976355856,False,45.43999999999939,0.0,3.280779564570932,0.0,3.280779564570932,0.39268419137349964,-0.8257363906680476,0.9143530286646148,4166.619802719684,3055.8827966026074,3.214229369562555,1.234082232206994,2.53825368854754,0.7380355459123022,0,0.13709535139494025,0.06747224189026364,0.05351388103310377,0.04362711420546257,0.03214966881610623,4.40209312277172,9.022773309581607,1.0,1.0,1.0,1.0,0.9982425307557118,1.0,1.0,1.0,0,227,0,3.7474741854708697,0.9368685463677174,455,0,0.9072044289555666,0.9072044289555666,568,0,0.9709391867185384,0.9709391867185384,pad_miss,corridor,ekf,flight_like
