case_id,thrust_scale,propellant_scale,drag_scale,density_scale,wind_x_mps,initial_x_m,initial_vx_mps,initial_vz_mps,initial_theta_deg,success,final_time_s,final_altitude_m,landing_x_m,target_x_m,landing_x_error_m,touchdown_vx_mps,touchdown_vz_mps,touchdown_speed_mps,propellant_used_kg,propellant_remaining_kg,max_abs_tilt_deg,max_abs_gimbal_deg,max_abs_commanded_gimbal_deg,max_abs_throttle_tracking_error,navigation_rejection_count,rms_x_estimation_error_m,rms_z_estimation_error_m,rms_vx_estimation_error_mps,rms_vz_estimation_error_mps,rms_theta_estimation_error_deg,ekf_mean_nees,ekf_p95_nees,ekf_x_3sigma_coverage,ekf_z_3sigma_coverage,ekf_vx_3sigma_coverage,ekf_vz_3sigma_coverage,ekf_theta_3sigma_coverage,ekf_bax_3sigma_coverage,ekf_baz_3sigma_coverage,ekf_bg_3sigma_coverage,optimizer_replan_count_from_rows,optimizer_fallback_fraction,optimizer_tilt_active_fraction,optimizer_thrust_active_fraction,optimizer_glideslope_active_fraction,optimizer_max_constraint_violation,optimizer_min_tilt_margin_deg,optimizer_min_thrust_margin_mps2,optimizer_min_glideslope_margin_m,ekf_rejected_updates,ekf_gps_accepted_updates,ekf_gps_rejected_updates,ekf_mean_gps_nis,ekf_mean_gps_normalized_nis,ekf_radar_accepted_updates,ekf_radar_rejected_updates,ekf_mean_radar_nis,ekf_mean_radar_normalized_nis,ekf_attitude_accepted_updates,ekf_attitude_rejected_updates,ekf_mean_attitude_nis,ekf_mean_attitude_normalized_nis,optimizer_solve_count,optimizer_converged_solve_count,optimizer_accepted_solve_count,optimizer_fallback_count,optimizer_convergence_rate,optimizer_acceptance_rate,optimizer_mean_iterations,optimizer_maximum_observed_violation,failure_mode,guidance_mode,navigation_mode,actuator_mode
11,1.0235608614642704,1.0016520039856014,1.1660756569388493,1.14706719951194,-6.106903625889334,21.514604973071442,-2.6269637898335523,-59.61811251479646,0.10325312173295655,True,43.91999999999942,0.0,1.7208255693337444,0.0,1.7208255693337444,-0.19322701572266288,-0.8248581490791017,0.8471880816603169,4036.1837375876894,2975.380290311521,1.1203518432856299,0.5774638431937594,1.067636146535187,0.6505470459080835,2,0.16810650770160684,0.0762561963168282,0.04858037077783569,0.04654333541471595,0.029976963794959406,5.652704554248679,10.439645663915151,1.0,0.9963636363636363,1.0,0.9981818181818182,1.0,1.0,1.0,1.0,20,0.0,0.0,0.0,0.0,5.663781217890573e-05,6.734487716762935,18.464748311783598,1.9999174363912275,2,218,1,4.207245913516414,1.0518114783791035,439,1,0.9932848716504102,0.9932848716504102,549,0,0.9136032337294183,0.9136032337294183,20,13,20,0,0.65,1.0,77.8,5.663781217890573e-05,success,predictive,ekf,flight_like
12,1.0046987465618809,0.9538025743396483,0.8751523904788013,0.8729338919528896,-2.0581477109095054,28.69262466426276,-1.1137173318617215,-56.86366419954252,0.5808994269877009,True,43.51999999999943,0.0,-1.175994331807542,0.0,-1.175994331807542,0.5643276838950559,-0.8345700596487632,1.007458643951452,3941.3917778288087,2735.226242548728,0.7156134116363232,0.5731217082692351,0.878851279201674,0.8398999975186004,5,0.14269974959834825,0.07357799003118252,0.05512471336251052,0.044041930335332644,0.03715470324855604,6.1054881029550785,11.858631485090058,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,0.0,0.0,0.0,0.0,1.500483415384224e-05,6.923722397584219,18.56708044562864,1.9999326941518247,5,216,1,3.7942094228649115,0.9485523557162279,434,2,1.0303970753175167,1.0303970753175167,542,2,1.043366722830349,1.043366722830349,21,17,21,0,0.8095238095238095,1.0,72.80952380952381,1.500483415384224e-05,success,predictive,ekf,flight_like
13,0.9819989584512546,0.9955275051700977,0.9097175279029741,1.1001858417897594,3.2393354341281757,26.07553330949183,-2.6601102905420033,-57.378749324770915,0.7495824094666109,True,45.83999999999938,0.0,-0.36441945906869305,0.0,-0.36441945906869305,-0.08129966204905166,-0.8553564867580522,0.8592114725074194,4160.082927491199,2808.609608699484,0.8552974753466562,0.5389879815626287,0.8075273951968965,0.6581351548250756,3,0.13586325579053146,0.09110333280093538,0.048006495134562135,0.05039988696881583,0.031157778911271174,5.406589687682077,11.505350886222956,1.0,0.9982578397212544,1.0,0.9982578397212544,1.0,1.0,1.0,1.0,21,0.0,0.0,0.0,0.0,3.9583208433668915e-05,7.184934752768214,17.459719085734392,1.9999791060856957,3,228,1,3.9800503294083285,0.9950125823520821,458,1,0.9390343391457313,0.9390343391457313,572,1,0.9009187226317785,0.9009187226317785,21,20,21,0,0.9523809523809523,1.0,62.666666666666664,3.9583208433668915e-05,success,predictive,ekf,flight_like
14,0.9766757047833045,0.964058311360241,1.1580821755691264,1.0000400798027893,8.526963182040863,24.367143907329115,-2.0572698101836115,-62.042102992710674,2.0521760672426232,True,43.75999999999942,0.0,0.6883307689397815,0.0,0.6883307689397815,0.46113815869343944,-0.5981236689626971,0.7552485185530481,4003.3368152863004,2745.0713642353876,2.0521760672426232,0.9451622196257907,1.21664439450917,0.7090032616232966,1,0.1586724794802424,0.09973638124149165,0.04738038139403191,0.04729596705777917,0.0318382385430399,7.214594253232925,12.06303260811502,1.0,0.9726277372262774,1.0,1.0,1.0,1.0,1.0,1.0,20,0.0,0.0,0.0,0.0,5.405159186011588e-05,6.510909629094697,17.146588850190504,1.6201130538032493,1,218,0,3.994204186552903,0.9985510466382258,437,1,1.1567602339419045,1.1567602339419045,547,0,0.9026829690001492,0.9026829690001492,20,14,20,0,0.7,1.0,79.0,5.405159186011588e-05,success,predictive,ekf,flight_like
15,0.9955420886803017,1.026500111783143,1.1157139023230958,0.925800256640975,-9.846469636466143,20.755954360845614,-4.4671171703490105,-53.052300112856834,1.4113128304651088,True,45.999999999999375,0.0,-1.24861910694815,0.0,-1.24861910694815,-0.49288161299737654,-0.8430327502515279,0.9765431390509847,4175.822131735331,3009.6786507466677,2.1846109288316398,0.8243972557623712,1.1650132260952435,0.6822175143395446,6,0.11575130576303029,0.08066167640911533,0.05159325705327255,0.04483371915521443,0.03366748642011991,4.8103569746982515,9.42696125366092,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22,0.0,0.0,0.0,0.0,3.635630361031872e-05,5.649274018794656,17.977293199358613,1.999863684568575,6,230,0,3.942166558631787,0.9855416396579467,458,3,1.1978355075936424,1.1978355075936424,572,3,1.054091784197006,1.054091784197006,22,10,22,0,0.45454545454545453,1.0,80.45454545454545,3.635630361031872e-05,success,predictive,ekf,flight_like
16,1.0034916064443977,0.9564724319228719,0.8961069098265658,0.8928212888320699,15.045225961168118,23.62123541335271,-2.5817047603854,-57.53319016977977,1.7887712081450484,True,45.11999999999939,0.0,0.6621066272641453,0.0,0.6621066272641453,0.3209506841348637,-0.7334935636242469,0.8006385885809115,4065.58661518999,2629.7204082701137,1.7887712081450484,0.5668785449531972,0.9550080103434407,0.6740003740346697,3,0.12452080576052846,0.06196313646038818,0.04214686263929331,0.04406342369524016,0.03068779063498045,4.362070149826439,7.285287125186632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,0.0,0.0,0.0,0.0,2.436052778875819e-05,6.966780752405098,18.454968151659706,1.9999151709466325,3,225,0,3.8935517446728944,0.9733879361682236,450,2,0.951426398486633,0.951426398486633,563,1,0.8926170109535283,0.8926170109535283,21,20,21,0,0.9523809523809523,1.0,73.52380952380952,2.436052778875819e-05,success,predictive,ekf,flight_like
17,0.9873148798277946,1.0378573538072058,1.0865603364922924,1.1009143608602503,-6.374419505195693,28.11238266516395,-3.954702791256066,-58.301241191721424,0.7855320894854576,True,46.31999999999937,0.0,0.12555082963858558,0.0,0.12555082963858558,-0.06123177970022833,-0.8163743303135309,0.8186674404421636,4249.717954282096,3015.2835223683433,1.6649598561574155,0.43732233218164074,0.9839752474086917,0.6535905396509334,4,0.14551247399008072,0.08300213099842027,0.04286439184900876,0.044399011264191185,0.031001176029630765,5.262764439789373,9.197801497340457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,0.0,0.0,0.0,0.0,3.549278000036793e-05,6.202471238608843,17.186783689559746,1.9999058526322144,4,231,0,3.617973002827076,0.904493250706769,462,2,0.9359876010785378,0.9359876010785378,577,2,0.9548366915388217,0.9548366915388217,21,14,21,0,0.6666666666666666,1.0,75.38095238095238,3.549278000036793e-05,success,predictive,ekf,flight_like
18,0.9806104811037019,1.0231744045638194,1.0107004675988993,1.0656490686683902,8.898889617677401,21.13958325437359,-2.224053472744157,-57.26564139347319,1.2348921895353446,True,45.59999999999938,0.0,1.4595922161346035,0.0,1.4595922161346035,0.0739339404849927,-0.6308067646885092,0.6351247136841887,4173.672705219546,2988.54812672719,1.2348921895353444,0.5413408681154723,0.9221061776593992,0.6657410281957898,2,0.14159764394603605,0.0893413911775761,0.05335198892346127,0.04701808098292737,0.032462416803380634,5.157681004682224,10.116202618888373,1.0,1.0,0.9877408056042032,1.0,1.0,1.0,1.0,1.0,21,0.0,0.0,0.0,0.0,4.953081020175887e-05,7.289493903238069,17.196522985840435,1.9999791192016296,2,228,0,3.752476113569293,0.9381190283923232,456,1,0.9713900891490258,0.9713900891490258,569,1,0.8728275332313276,0.8728275332313276,21,19,21,0,0.9047619047619048,1.0,67.9047619047619,4.953081020175887e-05,success,predictive,ekf,flight_like
19,0.98357498801071,1.0016999528384078,0.8518999707984197,1.1361141850723302,10.210983175873107,9.808193455753264,-2.4604544907571766,-55.49744034593819,2.0092313831082125,True,45.27999999999939,0.0,0.6353631352548897,0.0,0.6353631352548897,0.02329480772600077,-0.7387427296616181,0.7391099165177598,4112.871528746713,2899.028141122144,2.0092313831082125,0.42937630382610426,0.7876621063731963,0.7114502212298909,4,0.1282360008526403,0.07562803072478076,0.04471630147184123,0.04954864399901088,0.031244830066533752,4.9225285567301915,9.131763771368686,1.0,1.0,1.0,0.9982363315696648,1.0,1.0,1.0,1.0,21,0.0,0.0,0.0,0.0,3.055585528954907e-05,6.742804561110234,17.61782969254974,1.9999496966699684,4,226,0,3.791144740505231,0.9477861851263077,450,3,1.0701523946343277,1.0701523946343277,565,1,0.9165497482536522,0.9165497482536522,21,19,21,0,0.9047619047619048,1.0,70.80952380952381,3.055585528954907e-05,success,predictive,ekf,flight_like
20,1.0083071059883086,1.0289885223378463,0.942216614150645,0.8672269334875959,0.217958373114147,1.4523567911800335,-2.6617172393675914,-56.7927624849297,1.098542471635108,True,45.519999999999385,0.0,0.6923242503851728,0.0,0.6923242503851728,-0.16896363487957297,-0.7590143657407781,0.7775934138819549,4174.963075206058,3027.9565811588654,1.7282423803487623,0.6684423364545007,1.5039952570226263,0.7412454416921324,4,0.13034477383353701,0.09207890357658687,0.05045869576188105,0.04743046875577709,0.0330181584133347,5.085310148710635,10.602962136422587,1.0,1.0,1.0,0.9982456140350877,1.0,1.0,1.0,1.0,21,0.0,0.0,0.0,0.0,5.056482780219085e-05,6.131414601584649,18.02756340452705,1.999874795078688,4,227,0,3.8798843871789006,0.9699710967947252,454,2,1.0745353588438475,1.0745353588438475,567,2,0.9768070071973705,0.9768070071973705,21,14,21,0,0.6666666666666666,1.0,73.04761904761905,5.056482780219085e-05,success,predictive,ekf,flight_like
21,0.9820170082036949,1.0358245465605582,0.9439441827796597,1.0538126150596776,-0.10655443419055644,12.089396971110943,-2.516232569497044,-59.027798611320996,1.1374145724537086,True,45.519999999999385,0.0,0.5673034159565569,0.0,0.5673034159565569,-0.10534019328397617,-0.7537725044563618,0.7610975921624779,4196.666979382273,3054.104846541635,1.139062595170777,0.5371006360791634,0.7852652837488593,0.6441608752214127,2,0.1765333276107318,0.07593144565725708,0.04871074577523992,0.043795951665404946,0.03569823149769987,5.94687739395743,9.922180686693302,1.0,1.0,1.0,1.0,0.9982456140350877,1.0,1.0,1.0,20,0.0,0.0,0.0,0.0,5.8265998291062715e-05,6.744291890548154,16.980354475402237,1.9999225011793151,2,227,0,3.7025162553680375,0.9256290638420094,455,1,1.0334654988989573,1.0334654988989573,568,1,0.9542810588568588,0.9542810588568588,20,14,20,0,0.7,1.0,71.2,5.8265998291062715e-05,success,predictive,ekf,flight_like
22,0.99821968630274,1.0150375701648802,1.006369063690032,0.9519134842169077,7.001094877855071,17.05730408460406,-1.166687066009113,-59.81419796906742,1.1928499170537623,True,46.07999999999937,0.0,0.13965943991182295,0.0,0.13965943991182295,0.19322975796718114,-0.7480884395173935,0.772640959763087,4219.70242645741,2885.5605646967488,1.192849917053762,0.692331014051528,1.2755755886478295,0.7054728230652026,6,0.15750373778189164,0.09291544233090503,0.06736862893489343,0.04964925575234881,0.03195692137032324,6.636836853954364,14.646240957552088,1.0,0.9861351819757366,0.9982668977469671,1.0,0.9982668977469671,0.9913344887348353,1.0,1.0,20,0.0,0.0,0.0,0.0,5.779214399126431e-05,7.150497800918944,17.571952771436592,1.9999315637389676,6,230,0,3.8798056031348014,0.9699514007837003,457,4,1.1262789561346123,1.1262789561346123,574,2,0.9740976888354983,0.9740976888354983,20,15,20,0,0.75,1.0,73.15,5.779214399126431e-05,success,predictive,ekf,flight_like
23,0.9923788810511982,0.9741169848012552,0.8984172207239969,1.1176913812805858,-11.15043570975731,13.764772406488031,-3.3204108477023753,-56.943793183583146,0.32535946822160683,True,45.67999999999938,0.0,-2.203087144317726,0.0,-2.203087144317726,-0.4677541792384322,-0.8217773015694443,0.9455749074345071,4119.996241197514,2698.8226524112724,1.9400527178036924,0.7883536155092085,1.0815361495261548,0.6469800116229436,2,0.14879588252375553,0.07990075666909739,0.05022456826154437,0.050566395826238356,0.032005471220747636,5.702922896032591,10.05692686642022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,0.0,0.0,0.0,0.0,3.963529206885141e-05,5.914195791516384,17.99575032140835,1.9998585450397415,2,228,0,4.067541664192781,1.0168854160481953,456,1,0.9709507888835444,0.9709507888835444,570,1,1.0036421349998406,1.0036421349998406,21,11,21,0,0.5238095238095238,1.0,81.9047619047619,3.963529206885141e-05,success,predictive,ekf,flight_like
24,1.02084784638545,0.9422959584585118,1.056359070742066,1.0942993448979172,17.322752088934934,22.68508191733413,-1.745419028115443,-60.82161024497246,0.8644247689790977,True,42.79999999999944,0.0,0.500991762561993,0.0,0.500991762561993,0.447209376049509,-0.878937782267067,0.9861682671446801,3895.639742475538,2700.4319667340424,0.8644247689790977,0.53116625857288,0.7777219416562912,0.6670981221276794,3,0.13719253368662493,0.0745582134166857,0.047198500988120055,0.04959996324341733,0.03285459042435154,6.911699561764783,11.82374453637905,1.0,1.0,1.0,0.9981343283582089,1.0,1.0,1.0,1.0,20,0.0,0.0,0.0,0.0,8.42779736274224e-05,6.640797150252899,18.81233514121281,1.847572462634648,3,214,0,3.9414375198533262,0.9853593799633316,426,3,1.0101114992278706,1.0101114992278706,535,0,0.8257880209277942,0.8257880209277942,20,15,20,0,0.75,1.0,79.85,8.42779736274224e-05,success,predictive,ekf,flight_like
25,0.9796441601623137,1.0265377218445815,0.9113455120109778,1.0089391550905584,6.48296880843473,16.835200462954372,-3.0442389230565823,-52.89808811420868,-0.08162769780550051,True,48.47999999999932,0.0,-0.2536192123984901,0.0,-0.2536192123984901,-0.2447510349170215,-0.7270850579418076,0.7671738724534319,4361.196951833015,2824.567101079054,1.4611331775331153,0.7235011258685362,1.0230518178383883,0.6946353813693917,2,0.2139921233295419,0.0929185224309976,0.04272888487203208,0.05553552010189603,0.0363220059779959,7.855246530415067,14.908060037576508,1.0,0.9917627677100495,1.0,1.0,0.9950576606260296,1.0,1.0,1.0,22,0.0,0.0,0.0,0.0,3.329886544634064e-05,6.3156823891162945,17.509211744653655,1.999900261162939,2,241,1,4.005281913954765,1.0013204784886913,485,0,0.9743685374182713,0.9743685374182713,605,1,0.9478936736399171,0.9478936736399171,22,11,22,0,0.5,1.0,82.31818181818181,3.329886544634064e-05,success,predictive,ekf,flight_like
