time_s,x_m,z_m,vx_mps,vz_mps,theta_deg,omega_deg_s,mass_kg,prop_remaining_kg,target_x_m,target_error_m,commanded_throttle,commanded_gimbal_deg,throttle,gimbal_deg,desired_theta_deg,desired_ax_mps2,desired_az_mps2,thrust_scale,navigation_rejection_count,estimated_x_m,estimated_z_m,estimated_vx_mps,estimated_vz_mps,estimated_theta_deg,estimated_omega_deg_s,x_estimation_error_m,z_estimation_error_m,vx_estimation_error_mps,vz_estimation_error_mps,theta_estimation_error_deg,ekf_nees,ekf_nis_gps,ekf_nis_radar,ekf_nis_attitude,ekf_estimated_bax_mps2,ekf_estimated_baz_mps2,ekf_estimated_bg_radps,ekf_true_bax_mps2,ekf_true_baz_mps2,ekf_true_bg_radps,ekf_sigma_x,ekf_x_inside_3sigma,ekf_sigma_z,ekf_z_inside_3sigma,ekf_sigma_vx,ekf_vx_inside_3sigma,ekf_sigma_vz,ekf_vz_inside_3sigma,ekf_sigma_theta,ekf_theta_inside_3sigma,ekf_sigma_bax,ekf_bax_inside_3sigma,ekf_sigma_baz,ekf_baz_inside_3sigma,ekf_sigma_bg,ekf_bg_inside_3sigma
37.45000000000001,-1.8054379125681974,14.70826766432535,0.213823721097477,-2.092191141223986,0.031929506692838,-0.0712505753288677,21468.752828536028,3468.7528285360277,0.0,-1.8054379125681974,0.0,0.0022696058733554856,0.41233208878350414,-0.06858981769123344,-0.03674607959931047,-0.008462102105257791,3.3877553692855593,1.0,260,-1.4763768583326262,14.653221256982876,0.2048304711050393,-2.1327572935859425,0.0726648071928405,-0.0378458143085082,0.3290610542355712,-0.05504640734247346,-0.008993249992437696,-0.04056615236195649,0.040735300500005234,10.319358449071505,15.63785252374101,974.3966135458766,4.747056669465948,-0.10555951504589672,0.06194936731514956,-0.0012918785903376436,-0.10299123357025543,0.054114781179234975,-0.001063662831898434,0.13287877199396947,1.0,0.13285767681262053,1.0,0.05199298301292663,1.0,0.05193756205949858,1.0,0.0005647757658332459,1.0,0.01280050921397113,1.0,0.012782491679776527,1.0,0.00028733524711982563,1.0
37.50000000000001,-1.7947304306811425,14.609648924497577,0.2144672138311687,-1.8525277519892025,0.028140831763941734,-0.08028756201042071,21463.08703236212,3463.08703236212,0.0,-1.7947304306811425,0.0,-0.2737617245882546,0.40813554887398695,-0.2562744895332402,-0.0308317971334008,-0.006800648908078799,2.8312264457742424,1.0,261,-1.4664596145468665,14.552262220757218,0.19193592780553165,-1.905602630928262,0.07643025666839735,0.1301621787862216,0.328270816134276,-0.05738670374035948,-0.02253128602563706,-0.0530748789390596,0.048289424904446814,11.975041362146873,15.63785252374101,1017.891506966871,0.04348567721398712,-0.10556192309215079,0.0619493690300563,-0.0012881285017403387,-0.10252724080910433,0.05373083944107627,-0.0010610600327748694,0.1338076766604957,1.0,0.13378658122561052,1.0,0.053341808417625994,1.0,0.053278645258062314,1.0,0.0005647867891972119,1.0,0.012818069386218428,1.0,0.012800081778781279,1.0,0.0002873293347676889,1.0
37.550000000000004,-1.7839921915701238,14.522832183526665,0.21505184426720036,-1.6201117519812682,0.02326320710998625,-0.11478360440030282,21457.478900242044,3457.478900242044,0.0,-1.7839921915701238,0.0,0.05669997437885381,0.3325548916751005,-0.17009312439770832,-0.03825780037379507,-0.008039215078462876,2.233065342694709,1.0,261,-1.4567110094527163,14.463085605660575,0.19896109720583358,-1.6614552419162076,0.06472055646568257,-0.06868973978216153,0.32728118211740753,-0.05974657786608972,-0.01609074706136679,-0.041343489934939415,0.041457349355696484,10.503904432811167,15.63785252374101,1017.891506966871,0.3958528930022232,-0.10556829541169475,0.06194937371994845,-0.0012768140837406657,-0.10226184163482789,0.05398601559536196,-0.0010715158230745312,0.1347841833160496,1.0,0.13476297062560888,1.0,0.05466555515545827,1.0,0.05459428295690779,1.0,0.0005647949048481657,1.0,0.012835606733234195,1.0,0.01281764773831115,1.0,0.00028732343033231695,1.0
37.6,-1.773227691266654,14.444294045680088,0.21551745957074625,-1.5213934146210224,0.017067652503408425,-0.13302070030516158,21452.909311107167,3452.909311107167,0.0,-1.773227691266654,0.0,0.8154521947443454,0.2709706524760078,-0.20464932446122372,-0.018054121202895877,-0.0037053662914461965,1.9525400839427605,1.0,262,-1.4951777731566478,14.450489122813947,0.17588243014923238,-1.5469551363031675,0.02618842477779862,-0.5089609666871076,0.27804991811000623,0.006195077133858362,-0.03963502942151387,-0.0255617216821451,0.009120772274380948,8.208216035550679,7.19248112623864,1086.0648031034063,0.9283189728602651,-0.10428743180309993,0.06015411272162505,-0.0012588607163504704,-0.101897413499882,0.053915795319249074,-0.0010475996308502123,0.13199504309219273,1.0,0.13197508236820382,1.0,0.05062490827135043,1.0,0.05056804234135222,1.0,0.0005647453824880863,1.0,0.012778755521781775,1.0,0.012760816738278424,1.0,0.00028731668603740573,1.0
37.65,-1.762442291950113,14.36796741986661,0.21588862362879457,-1.5316576693450663,0.009972217469364246,-0.1507792906234417,21449.185942182452,3449.185942182452,0.0,-1.762442291950113,0.0,-0.13118722103284686,0.22079090201748786,-0.11753289151453121,-0.0026628806959121476,-0.0005475520887539692,1.9747353901706128,1.0,262,-1.4869538214308717,14.372914854495999,0.15294978707212417,-1.556014444967597,0.02753017499208543,0.06944305479057467,0.2754884705192413,0.004947434629389846,-0.0629388365566704,-0.02435677562253069,0.017557957522711862,10.067811930910667,7.19248112623864,1086.0648031034063,0.026242289512987436,-0.10428979379409341,0.060154111873150645,-0.0012559481775175465,-0.10163404349986997,0.05388516068856468,-0.0010458754146598426,0.1328781367039662,1.0,0.13285827172220965,1.0,0.05199687036922274,1.0,0.051936544492339365,1.0,0.000564763988710888,1.0,0.012796342449685893,1.0,0.012778436673861922,1.0,0.0002873110260656332,1.0
37.699999999999996,-1.7516401548037495,14.28890696828116,0.2161881723288694,-1.6307506014088955,0.0022382853142156587,-0.15857035725972307,21446.15208602157,3446.1520860215714,0.0,-1.7516401548037495,0.0,-0.4512665259223805,0.1799036979401753,0.19346213723842764,-0.0016796863034321914,-0.00035335214625802834,2.2465450610692264,1.0,263,-1.4793594984551606,14.292340858712688,0.15048753419505911,-1.6669571677833577,0.0509649180235907,0.2559466627530412,0.2722806563485889,0.003433890431528752,-0.06570063813381027,-0.03620656637446218,0.048726632709368715,12.177188028189688,7.19248112623864,1061.6606611397037,0.6541907317301587,-0.10427948746037609,0.060154115234250766,-0.0012704903939351378,-0.10175157885602122,0.054656852363449054,-0.0010627604184317212,0.1338070007279215,1.0,0.13378711948730976,1.0,0.05333953882355404,1.0,0.05327755220306248,1.0,0.0005647777390506714,1.0,0.01281390719961313,1.0,0.012796032347094238,1.0,0.00028730534643078316,1.0
37.74999999999999,-1.7408243359095312,14.203082025096363,0.21643772429421612,-1.8022400072358042,-0.0053757867396540815,-0.1460048440613848,21443.68005507567,3443.6800550756707,0.0,-1.7408243359095312,0.0,0.4713473077623088,0.1465881983216243,0.08524568448133614,-0.001807483645797743,-0.0003934134089709149,2.6642390079398783,1.0,263,-1.471885554376432,14.204730376894325,0.14967129102074522,-1.837444493036685,0.025119007550469676,-0.29464053207288243,0.26893878153309925,0.0016483517979626328,-0.0667664332734709,-0.03520448580088065,0.03049479429011601,10.634918050254118,7.19248112623864,1061.6606611397037,0.7140531318479783,-0.10428891583626503,0.06015411250947858,-0.0012552973452602588,-0.10141300869612194,0.05527053682198084,-0.001041596929220473,0.13478345647216314,1.0,0.13476344827614573,1.0,0.05465580284763579,1.0,0.0545931132844199,1.0,0.0005647878832375252,1.0,0.012831449381413614,1.0,0.012813603857926606,1.0,0.00028729966343216904,1.0
37.79999999999999,-1.7299968382227737,14.107207648041141,0.21665706087155365,-2.0327296509057327,-0.012550058824507507,-0.14097097451329033,21441.66580763827,3441.66580763827,0.0,-1.7299968382227737,0.0,-0.03875395840493074,0.11944223566947167,-0.0935917189865694,-0.006989947591751212,-0.0015821836034625154,3.1623231222650903,1.0,264,-1.4544394945763495,14.118728299900221,0.1550148774589289,-2.0407441315367714,-0.002048304887876455,0.021840033283514925,0.27555734364642426,0.011520651859079578,-0.06164218341262476,-0.008014480631038712,0.010501753936641135,9.412787175523793,2.038431486445642,1047.1789844177217,4.610303285118335,-0.10431362042853932,0.058596446810767464,-0.001216664480963802,-0.10193501219686638,0.05513148104221218,-0.0010374568267571625,0.13199443673610797,1.0,0.1319756684518462,1.0,0.05061380108699635,1.0,0.05056712032782474,1.0,0.0005647643708549329,1.0,0.012774679654212667,1.0,0.012756853895027119,1.0,0.00028729349353560766,1.0
37.84999999999999,-1.7191588181693744,13.998606813840803,0.21685976132917156,-2.3112993399269026,-0.019671438289632984,-0.14388135077339373,21440.024568985573,3440.024568985573,0.0,-1.7191588181693744,0.3853436952034702,0.7576056838072917,0.09732330313808803,0.09472128992972333,-0.007472166868068439,-0.0017813960754807687,3.852905252137838,1.0,264,-1.4466886221578483,14.009644598792727,0.15529332945511118,-2.322614388627689,-0.013514994068855778,-0.4571406841496113,0.2724701960115261,0.011037784951923868,-0.061566431874060384,-0.011315048700786257,0.006156444220785769,9.227064608930021,2.038431486445642,1047.1789844177217,0.7500775078346861,-0.1043018056702763,0.058596470780467695,-0.0012322341029449046,-0.10139858667128789,0.0548189865122199,-0.0010413560539069293,0.1328775207169695,1.0,0.1328588066356183,1.0,0.05198193085595698,1.0,0.051935548964429194,1.0,0.000564777803519849,1.0,0.012792273221322712,1.0,0.012774479296562447,1.0,0.00028728795192648664,1.0
37.899999999999984,-1.708310879153463,13.875098038569204,0.21705475831453633,-2.6290479105476185,-0.02676726609725229,-0.13995561030770437,21438.68726341671,3438.6872634167084,0.0,-1.708310879153463,0.40621113988359925,0.42578323488980174,0.07930046922362728,0.050229540484838645,-0.007297656680951444,-0.0018341211232765122,4.593506585274151,1.0,265,-1.4389322514829102,13.885956972099967,0.15459843625013914,-2.6249006470506737,-0.016457536811840524,-0.25499715201079565,0.26937862767055276,0.010858933530762727,-0.06245632206439719,0.004147263496944831,0.01030972928541274,9.320280891366856,2.038431486445642,1008.4683555204521,0.5560317862923564,-0.10429290761680382,0.0585964883113358,-0.0012456393923060407,-0.10020587164415135,0.05366442778588944,-0.0010461326253466152,0.13380634355503201,1.0,0.13378759953096891,1.0,0.05332243581503246,1.0,0.053276483071957426,1.0,0.0005647877140432467,1.0,0.012809844330646332,1.0,0.012792080413199012,1.0,0.00028728240661953555,1.0
37.94999999999998,-1.697453230670295,13.734903746880468,0.21724898207568594,-2.9787203261186983,-0.033711181771161405,-0.13780312693259983,21437.597607027263,3437.5976070272627,0.0,-1.697453230670295,0.42988279923342126,0.020906090949722535,0.13597514070137598,0.28602158825898966,-0.009731023753981901,-0.0025883523830731174,5.4334387888193,1.0,265,-1.431120760907649,13.746140921841604,0.15874925967175202,-2.9677301178854285,-0.02707121543672287,-0.006890294257100001,0.2663324697626459,0.011237174961136631,-0.05849972240393392,0.010990208233269794,0.0066399663344352865,8.702326498340192,2.038431486445642,1008.4683555204521,0.6096004292520932,-0.10430107410956636,0.05859647275746598,-0.0012316033127475737,-0.10040528059647183,0.05393439215982824,-0.0010407276791173901,0.13478272411372397,1.0,0.1347638695845677,1.0,0.05463718407108844,1.0,0.05459196915707916,1.0,0.0005647950088473512,1.0,0.012827392656858658,1.0,0.012809657345040614,1.0,0.00028727686947962165,1.0
37.99999999999998,-1.6865877780961114,13.579737954210023,0.21736503143288852,-3.227906230917688,-0.04025574725648607,-0.12399303182858311,21435.72919209452,3435.729192094521,0.0,-1.6865877780961114,0.4475030790262717,0.4311441936956895,0.18601884425363954,0.33260880380259367,-0.024895304716203902,-0.006893918956552901,6.0594918352166305,1.0,266,-1.3995253160748702,13.561476813993831,0.18327816423171497,-3.223261973557808,-0.019823879852908316,-0.2629899862851528,0.2870624620212412,-0.018261140216191407,-0.03408686720117354,0.004644257359879944,0.020431867403567994,8.50092846143962,2.2437029560036916,1046.995322988117,2.348878450663063,-0.10554065374124948,0.05891407370811247,-0.0012595295274129329,-0.10010809911697753,0.05391777996021258,-0.0010402696587855941,0.13199386503749963,1.0,0.13197619723567375,1.0,0.05060015060581553,1.0,0.05056621937345447,1.0,0.0005647861921433616,1.0,0.012770687203416774,1.0,0.012752986439032174,1.0,0.00028727111440697236,1.0
38.049999999999976,-1.6757187514336713,13.414331626385447,0.21739094090205074,-3.3883392423002485,-0.04591958981616843,-0.1025816621584894,21433.173133798995,3433.173133798995,0.0,-1.6757187514336713,0.4586176507296242,0.367910776391903,0.23117883591656208,0.2287078995183033,-0.025019000954668993,-0.007101092548641184,6.4554944336067335,1.0,266,-1.3903555666269118,13.39627282879831,0.18349522772776874,-3.3848956871864218,-0.03287713483841997,-0.22035685015505455,0.2853631848067595,-0.018058797587137576,-0.033895713174282,0.0034435551138267684,0.013042454977754199,8.157509886596802,2.2437029560036916,1046.995322988117,0.023948823676571335,-0.10554243246708742,0.05891407110706504,-0.0012567477082234,-0.09971970609741806,0.054480686686731325,-0.0010353767067066504,0.1328769268622019,1.0,0.13285928585832182,1.0,0.0519697219526765,1.0,0.051934578034215216,1.0,0.0005647937387750955,1.0,0.012788288374058359,1.0,0.012770617178267307,1.0,0.0002872656712924222,1.0
38.09999999999997,-1.6648508133433155,13.242906608417927,0.21732118605506726,-3.468650800170168,-0.05059129049330265,-0.08430428397707054,21429.996538526266,3429.996538526266,0.0,-1.6648508133433155,0.46474815760638627,1.097040591921644,0.27123888093687865,0.29618666424409873,-0.02701085416994481,-0.007770064674833709,6.675312274503659,1.0,267,-1.3810926533239154,13.224785074525391,0.18688236094475166,-3.4746172548994525,-0.06177404507503795,-0.6532853557114199,0.28375816001940013,-0.018121533892536235,-0.030438825110315593,-0.005966454729284365,-0.011182754581729524,7.994112908722174,2.2437029560036916,1092.5732479766966,0.0820416813177841,-0.10553954496874826,0.05891407516250643,-0.0012618964146007198,-0.09949703695446889,0.05434823349687686,-0.0010241385739588648,0.1338057026918429,1.0,0.13378802559548217,1.0,0.053312526480076804,1.0,0.05327544052238209,1.0,0.000564799279322024,1.0,0.012805866542765321,1.0,0.012788223610558877,1.0,0.00028726024350102925,1.0
38.14999999999997,-1.653988727064271,13.069243657083769,0.21715734131075518,-3.4778532463963927,-0.054122036818935466,-0.056952384713533956,21426.26948391269,3426.269483912689,0.0,-1.653988727064271,0.46541288262631947,0.8334725955777911,0.30593865312072044,0.3200947016267002,-0.026704391774048614,-0.007694229396294779,6.70175216925864,1.0,267,-1.3717729077380736,13.0507845459378,0.18515002104298853,-3.4854090486769955,-0.07672851605790613,-0.4884601983161633,0.28221581932619744,-0.018459111145968876,-0.03200732026776665,-0.007555802280602819,-0.022606479238980074,8.601575981512621,2.2437029560036916,1092.5732479766966,0.5182189890074621,-0.10553316483640969,0.058914083712660346,-0.0012748362560187532,-0.09986348987514534,0.05441809490972859,-0.0010064302075647239,0.13478201935551035,1.0,0.13476423872946125,1.0,0.054630786478166694,1.0,0.05459085345665895,1.0,0.0005648033300900421,1.0,0.012823421515381187,1.0,0.012805805836163316,1.0,0.00028725483776932757,1.0
38.19999999999997,-1.6431369527722834,12.896661374529728,0.21691032016437092,-3.4254206694253657,-0.056142030255077593,-0.023879776951454573,21422.06562469956,3422.0656246995604,0.0,-1.6431369527722834,0.4601436809754529,-0.2561370835062556,0.33534782061806595,0.5790766650583481,-0.02526868973447446,-0.007199550708501957,6.51805253021318,1.0,268,-1.388580425511424,12.919370944025532,0.18496475820190425,-3.4104296041686446,-0.08090398094049513,0.17377969313307087,0.2545565272608594,0.02270956949580416,-0.03194556196246667,0.014991065256721114,-0.024761950685422168,7.830577350335645,4.323476941749534,1026.5645413928887,0.9719383708435724,-0.10575080767788254,0.05684885560311659,-0.0012572727510959793,-0.09960146099035119,0.05420194968573186,-0.0009976600530529258,0.1319933343299191,1.0,0.13197667278357966,1.0,0.050597779957433316,1.0,0.05056534034978672,1.0,0.0005647857084954417,1.0,0.012766786964384014,1.0,0.012749212051731768,1.0,0.00028724913282937874,1.0
38.249999999999964,-1.6322991502292288,12.7280076921323,0.21660229700398287,-3.32070600537973,-0.055707942248743945,0.04117951340180266,21417.457658328105,3417.457658328105,0.0,-1.6322991502292288,0.4518722270406631,0.18735460100227747,0.35943394321218697,0.6638753085648291,-0.030508708009962627,-0.008538118321715206,6.228053876132052,1.0,268,-1.379141796790918,12.7518087041803,0.19291129035880328,-3.292062806584511,-0.07588657545792388,-0.09842228721569624,0.2531573534383107,0.023801012048000558,-0.02369100664517959,0.02864319879521915,-0.02017863320919188,7.28253112320347,4.323476941749534,1026.5645413928887,0.5709851612191331,-0.10574249695612724,0.05684886555761107,-0.0012708537902666368,-0.09986691301752416,0.0544251611643561,-0.001002917045604945,0.13287634757542036,1.0,0.13285971339504665,1.0,0.05197069880952439,1.0,0.05193363065312651,1.0,0.0005647931134554716,1.0,0.01278439394069715,1.0,0.012766848003318947,1.0,0.00028724386078317875,1.0
